city_id,city,Cloudiness,Humidity,Latitude,Max Temp,Wind Speed
356,port hedland,24,65,-20.31,77.0,8.05
357,ixtapa,5,54,20.71,82.4,10.29
358,cururupu,92,97,-1.82,77.72,6.4
359,bahia blanca,0,42,-38.72,78.89,16.69
360,wanaka,0,81,-44.7,14.72,1.92
361,deputatskiy,68,78,69.3,9.5,2.71
362,shepsi,0,91,44.04,52.43,3.94
363,itaueira,12,76,-7.6,86.27,6.62
364,yar-sale,80,84,66.83,29.84,24.96
365,turbat,0,20,26.0,88.97,10.76
366,davila,20,88,18.47,77.0,2.24
367,sarny,64,42,51.32,52.43,14.56
368,shelburne,90,76,44.08,55.0,8.05
369,coahuayana,36,25,18.62,84.29,3.04
370,gwanda,64,60,-20.94,75.92,12.21
371,aleksandrovsk-sakhalinskiy,80,90,50.9,30.65,11.21
372,teeli,80,80,51.01,25.79,2.37
373,aleksandrov gay,92,100,50.14,43.43,9.53
374,mulege,0,41,26.88,74.12,3.27
375,hammerfest,88,80,70.66,30.2,13.87
376,itarema,76,96,-2.92,80.6,7.63
377,nynashamn,20,48,58.9,45.0,8.05
378,aksarka,80,85,66.56,28.76,20.6
379,aschersleben,0,48,51.76,64.0,8.05
380,praia,75,58,-20.25,84.0,9.17
381,tuy hoa,20,96,13.08,73.67,1.92
382,margate,0,66,-43.03,51.8,10.29
383,balkanabat,76,69,39.51,64.76,5.95
384,anloga,40,83,5.79,84.2,16.11
385,aranos,0,26,-24.14,72.05,2.71
386,banjar,76,96,-7.37,71.33,2.48
387,podosinovets,0,94,60.28,32.9,5.73
388,te anau,0,72,-45.41,23.45,4.16
389,apad,0,90,13.81,75.65,3.94
390,fallon,75,67,46.84,57.2,4.7
391,gold coast,56,100,-28.0,64.99,3.36
392,kosh-agach,48,66,49.99,17.51,5.61
393,houston,75,74,29.76,82.99,3.36
394,neftcala,88,95,39.37,51.8,3.94
395,katherine,68,83,-14.47,78.8,4.61
396,sola,0,59,62.78,35.6,3.04
397,along,0,76,28.17,60.71,2.26
398,kannad,20,27,20.26,86.0,4.7
399,nouadhibou,20,56,20.93,71.6,20.8
400,mahon,75,81,51.89,48.99,10.29
401,luganville,80,100,-15.51,79.16,11.21
402,kaputa,32,98,-8.47,65.93,2.71
403,launceston,20,87,-41.43,53.01,9.17
404,rio casca,12,82,-20.23,81.14,3.94
405,gambela,36,77,8.25,71.42,0.36
406,hearst,0,58,49.69,32.9,3.71
407,kutum,0,29,14.2,71.15,3.94
408,kinkala,20,94,-4.35,73.4,9.17
409,itaqui,76,81,-29.13,73.22,9.42
410,lengshuitan,92,95,26.41,63.32,4.72
411,itumbiara,32,88,-18.41,80.87,3.27
412,preobrazheniye,12,90,42.9,28.13,2.71
413,garissa,0,44,-0.46,85.82,6.62
414,baoro,32,58,5.69,81.77,0.58
415,vega de alatorre,32,62,20.03,84.02,5.06
416,mataram,12,85,-5.32,75.56,3.71
417,waconia,90,87,44.85,53.6,9.75
418,birin,92,77,35.01,57.2,5.28
419,yatou,40,83,3.63,84.2,2.24
420,salta,20,43,-24.79,71.6,3.71
421,ucluelet,90,87,48.94,46.99,20.8
422,ha tinh,48,95,18.33,79.25,12.88
423,guerrero negro,0,67,27.97,66.29,15.35
424,apastovo,75,80,55.2,39.2,8.95
425,valera,8,55,9.31,90.95,5.73
426,esmeraldas,40,57,-19.76,84.0,6.93
427,tigil,0,72,57.8,17.42,7.4
428,uberaba,64,76,-19.75,82.85,4.16
429,almaznyy,0,57,48.03,48.2,11.18
430,caravelas,0,98,-17.73,82.76,11.88
431,marawi,56,91,8.0,75.99,5.01
432,roald,75,95,62.58,42.8,14.99
433,mayo,90,58,63.59,26.6,4.7
434,nemuro,12,94,43.32,34.07,15.46
435,heihe,20,68,50.24,30.2,2.24
436,richards bay,80,93,-28.77,66.83,11.65
437,maceio,40,58,-9.67,86.0,12.75
438,katiola,20,66,8.14,87.8,6.93
439,gbarnga,44,68,7.0,86.18,4.38
440,beringovskiy,76,97,63.05,13.64,12.66
441,kpandae,36,61,8.46,90.5,5.06
442,namatanai,88,100,-3.66,80.24,6.17
443,whitianga,0,96,-36.83,52.0,1.01
444,whitecourt,90,99,54.14,33.8,8.05
445,seymchan,12,71,62.93,5.72,3.04
446,loncoche,0,59,-39.37,69.01,4.7
447,jinchang,12,53,38.52,39.92,5.73
448,palana,0,66,59.08,15.62,3.94
449,machado,75,69,-21.69,82.4,4.7
450,gunjur,0,51,13.18,82.4,9.17
451,punta alta,75,73,-27.46,73.4,8.05
452,isangel,0,100,-19.55,77.0,16.46
453,brae,88,70,60.4,46.4,14.99
454,hornepayne,24,62,49.22,36.68,3.6
455,yerbogachen,32,67,61.28,21.83,7.29
456,kapit,92,94,2.02,75.38,1.14
457,karaton,20,83,-6.34,80.01,3.36
458,feijo,40,49,-3.63,91.4,3.27
459,jan kempdorp,36,95,-27.92,57.02,4.83
460,jiexiu,12,60,37.02,48.47,3.71
461,santo anastacio,75,94,-21.84,77.0,4.7
462,champerico,40,34,16.38,93.2,11.41
463,troitsko-pechorsk,0,75,62.71,24.8,5.5
464,acapulco,20,70,16.86,84.2,5.82
465,mongar,44,83,27.28,59.99,2.15
466,yulara,0,37,-25.24,71.6,8.05
467,spanish fork,40,53,40.12,55.0,14.99
468,blagoyevo,0,91,63.37,30.29,5.39
469,hofn,8,100,64.25,36.59,20.27
470,namuac,20,96,18.61,77.18,3.38
471,farah,56,77,32.37,63.77,4.94
472,reno,75,49,39.53,52.0,12.75
473,porto torres,75,93,40.84,50.0,4.7
474,sabang,12,96,13.72,76.73,4.94
475,vestmannaeyjar,75,85,63.44,41.0,25.28
476,karur,0,52,10.96,82.22,9.86
477,ares,40,71,43.43,52.0,9.17
478,kolaras,0,49,25.22,76.55,3.38
479,watsa,0,74,3.04,73.85,4.94
480,okhotsk,68,78,59.36,30.47,5.95
481,ovsyanka,36,61,53.58,27.59,4.94
482,ternate,20,74,14.29,82.4,2.24
483,cankuzo,12,83,-3.22,65.39,3.15
484,aksha,0,35,50.28,14.36,5.73
485,kavaratti,0,98,10.57,85.46,11.32
486,anito,76,98,12.45,80.6,14.45
487,kyshtovka,12,86,56.56,32.36,13.44
488,bonthe,88,72,7.53,85.91,5.84
489,rancho palos verdes,40,67,33.75,70.0,5.82
490,sigli,68,92,5.38,80.42,2.59
491,meadow lake,90,93,54.13,41.0,14.99
492,togur,56,80,58.36,30.29,12.77
493,campos belos,24,99,-13.04,80.69,3.94
494,fiche,8,85,9.77,50.0,3.94
495,kichera,0,56,55.93,4.37,3.49
496,saravena,0,48,6.96,85.28,2.04
497,great yarmouth,90,93,52.61,48.99,5.82
498,olden,8,86,61.84,46.0,1.59
499,jumla,0,78,29.28,27.68,1.81
500,tautira,20,74,-17.73,84.2,2.24
501,uglovskoye,0,88,51.36,30.11,3.15
502,clyde river,80,91,70.47,3.2,34.45
503,marevo,0,48,43.57,60.8,4.7
504,saint-augustin,75,87,44.83,53.6,9.17
505,hare bay,90,32,48.86,39.2,23.04
506,nishihara,1,57,35.74,57.0,3.6
507,razdolinsk,32,69,58.42,21.2,2.59
508,ayagoz,0,73,47.96,32.99,10.2
509,radviliskis,0,33,55.82,46.4,6.93
510,muskegon,90,58,43.23,63.0,10.29
511,getulio vargas,100,77,-32.68,71.15,11.43
512,grand-santi,48,63,4.27,86.54,4.05
513,piltene,0,39,57.23,48.2,5.82
514,muriwai beach,0,87,-36.82,53.6,8.05
515,aklavik,20,60,68.22,10.4,2.24
516,takahagi,75,66,36.74,52.0,8.05
517,dodoma,0,60,-6.18,75.2,8.05
518,nuevo progreso,1,52,26.05,90.0,13.87
519,elverum,0,91,60.88,39.0,1.92
520,kharovsk,0,74,59.95,30.02,7.4
521,ohara,0,68,35.12,52.0,2.37
522,sobolevo,32,58,54.43,41.27,8.19
523,goderich,0,80,43.74,52.0,6.17
524,palmares do sul,92,93,-30.26,70.0,1.99
525,natal,100,81,-5.81,83.75,10.98
526,verkhnetulomskiy,0,81,68.61,32.0,4.47
527,tocopilla,8,84,-22.09,70.16,4.94
528,portland,75,93,45.52,55.4,13.87
529,opuwo,8,34,-18.06,78.35,7.07
530,mirnyy,64,64,56.57,41.27,6.73
531,xichang,0,82,27.88,34.34,1.59
532,tyrma,56,80,50.04,21.83,2.71
533,wad rawah,0,23,15.16,74.3,5.95
534,kondopoga,0,74,62.21,33.8,4.38
535,guiong,75,83,6.42,78.8,4.7
536,nueva concepcion,20,46,14.2,93.2,6.93
537,fengzhen,92,48,40.43,39.83,3.15
538,den helder,90,93,52.96,54.0,11.41
539,yuzhno-kurilsk,24,92,44.03,33.89,19.15
540,noumea,75,93,-22.28,66.2,3.36
541,saint-francois,0,66,46.42,50.0,5.82
542,kedrovyy,0,68,56.17,26.6,2.37
543,verkhniye sergi,0,78,56.65,25.43,2.26
544,abu samrah,92,67,35.3,60.53,3.6
545,naliya,0,63,23.26,79.25,12.21
546,maine-soroa,0,39,13.21,93.83,2.37
547,moose factory,90,73,51.26,19.4,9.17
548,kamaishi,0,57,39.28,41.27,8.52
549,novi sanzhary,0,46,49.33,43.07,3.15
550,fairview,1,48,40.81,66.99,5.82
551,teya,75,36,21.05,96.01,20.8
